SensoreFrontale;DifferenzaSxDxSensor;DifferenzaSxMinDxMinSensor;PosizioneRispettoAlCentro;AngoloLongTang;Cls
9.39763;-6.78785;-21.45967;0.671823;-0.265;3
9.38423;-6.76613;-21.35335;0.671851;-0.265365;3
9.38407;-6.765680000000001;-21.35106;0.671845;-0.265374;3
9.38403;-6.765350000000001;-21.349;0.671835;-0.265383;3
9.38422;-6.76524;-21.347499999999997;0.671817;-0.265393;3
9.38448;-6.76521;-21.347;0.671802;-0.265398;3
9.38497;-6.76564;-21.3482;0.671786;-0.265397;3
9.38544;-6.76588;-21.34921;0.671769;-0.265398;3
9.38626;-6.766579999999999;-21.35173;0.671744;-0.265394;3
9.3868;-6.767100000000001;-21.353830000000002;0.67173;-0.26539;3
9.38738;-6.76769;-21.35622;0.671716;-0.265385;3
9.38774;-6.76815;-21.357940000000003;0.671708;-0.265381;3
9.38947;-6.76996;-21.36564;0.67167;-0.265363;3
9.3932;-6.77425;-21.38376;0.671596;-0.265316;3
9.39933;-6.781359999999999;-21.41482;0.671481;-0.265234;3
9.40101;-6.7833499999999995;-21.4235;0.67145;-0.265211;3
9.40639;-6.7898000000000005;-21.4523;0.671358;-0.265131;3
9.40977;-6.794;-21.471;0.671304;-0.265078;3
9.41336;-6.79847;-21.4911;0.671248;-0.265021;3
9.41558;-6.801219999999999;-21.50334;0.671212;-0.264987;3
9.42297;-6.81064;-21.54569;0.6711;-0.264866;3
9.42379;-6.81161;-21.55021;0.671088;-0.264853;3
9.42469;-6.81274;-21.555590000000002;0.671075;-0.264838;3
9.42646;-6.8151;-21.56587;0.67105;-0.264808;3
9.42828;-6.817429999999999;-21.57653;0.671023;-0.264777;3
9.43099;-6.82088;-21.59227;0.670983;-0.264732;3
9.43279;-6.823130000000001;-21.602629999999998;0.670957;-0.264702;3
9.44302;-6.836260000000001;-21.66261;0.67081;-0.26453;3
9.44745;-6.841900000000001;-21.68813;0.670743;-0.264457;3
9.45024;-6.8455;-21.704539999999998;0.670703;-0.26441;3
9.45401;-6.850389999999999;-21.72681;0.67065;-0.264346;3
9.4569;-6.85414;-21.744079999999997;0.670609;-0.264297;3
9.45888;-6.85667;-21.755570000000002;0.67058;-0.264264;3
9.46086;-6.859190000000001;-21.76714;0.670551;-0.264231;3
9.46828;-6.868860000000001;-21.81165;0.670448;-0.264103;3
9.47272;-6.87473;-21.83853;0.670388;-0.264026;3
9.48049;-6.88488;-21.88528;0.670282;-0.263892;3
9.48268;-6.887769999999999;-21.89837;0.670251;-0.263854;3
9.49816;-6.908;-21.991789999999998;0.670037;-0.263589;3
9.50264;-6.9138399999999995;-22.01905;0.669976;-0.263512;3
9.50488;-6.91681;-22.03273;0.669946;-0.263473;3
9.50711;-6.919700000000001;-22.046210000000002;0.669915;-0.263435;3
9.51271;-6.92713;-22.080260000000003;0.669839;-0.263338;3
9.51708;-6.93274;-22.106659999999998;0.669778;-0.263264;3
9.51925;-6.93565;-22.119760000000003;0.669748;-0.263228;3
9.5214;-6.93837;-22.13267;0.669717;-0.263192;3
9.52576;-6.944089999999999;-22.15897;0.669656;-0.263118;3
9.53129;-6.951360000000001;-22.19265;0.66958;-0.263024;3
9.53245;-6.95293;-22.19982;0.669564;-0.263004;3
9.53352;-6.9542399999999995;-22.20633;0.669549;-0.262986;3
9.55158;-6.97815;-22.317520000000002;0.669305;-0.262675;3
9.55516;-6.98289;-22.34001;0.669259;-0.262612;3
9.55757;-6.9861699999999995;-22.35503;0.669227;-0.26257;3
9.56501;-6.996159999999999;-22.40198;0.669132;-0.262438;3
9.57013;-7.00304;-22.4347;0.669069;-0.262346;3
9.57272;-7.00651;-22.451140000000002;0.669036;-0.2623;3
9.57531;-7.00997;-22.467579999999998;0.669003;-0.262254;3
9.58065;-7.01721;-22.50159;0.668935;-0.26216;3
9.58602;-7.02442;-22.53568;0.668866;-0.262065;3
9.58732;-7.02619;-22.54389;0.668849;-0.262042;3
9.59;-7.0298;-22.56089;0.668815;-0.261995;3
9.85673;-3.8185800000000008;-8.74791;0.441291;-0.439097;3
9.87537;-3.8350299999999997;-8.790589999999998;0.441258;-0.438239;3
9.88785;-3.8453100000000013;-8.81701;0.441154;-0.437734;3
9.88771;-3.8449399999999994;-8.81608;0.441131;-0.43776;3
9.89145;-3.8478499999999993;-8.82374;0.441085;-0.437622;3
9.89535;-3.8512199999999996;-8.832220000000001;0.441062;-0.437456;3
9.90908;-3.8616600000000005;-8.859299999999998;0.440862;-0.436975;3
9.91244;-3.86435;-8.86607;0.44082;-0.436852;3
9.92224;-3.872;-8.885820000000002;0.440696;-0.436495;3
9.92857;-3.877040000000001;-8.89866;0.440614;-0.436265;3
9.93828;-3.884830000000001;-8.91896;0.440515;-0.435892;3
9.94993;-3.8939400000000006;-8.942490000000001;0.440364;-0.435473;3
9.95273;-3.8962200000000013;-8.948149999999998;0.440327;-0.435373;3
9.96264;-3.9037100000000002;-8.967400000000001;0.440168;-0.435042;3
9.97353;-3.9124299999999987;-8.99005;0.44005;-0.434632;3
9.97502;-3.91338;-8.99241;0.440002;-0.434603;3
9.98527;-3.9216800000000003;-9.013819999999999;0.439894;-0.434216;3
9.99193;-3.926870000000001;-9.027259999999998;0.439803;-0.433982;3
9.9951;-3.9290000000000003;-9.032789999999999;0.43973;-0.433895;3
10.0023;-3.9349100000000004;-9.048070000000001;0.439662;-0.433619;3
10.0043;-3.9364799999999995;-9.05208;0.439635;-0.433549;3
10.0101;-3.9410100000000003;-9.06381;0.439556;-0.433347;3
10.0119;-3.94247;-9.06749;0.439531;-0.433282;3
10.0155;-3.9452499999999997;-9.07479;0.43948;-0.433156;3
10.0173;-3.9466599999999996;-9.07841;0.439455;-0.433094;3
10.0161;-3.9454700000000003;-9.075160000000002;0.439443;-0.433161;3
10.0208;-3.9494500000000006;-9.0854;0.439407;-0.432974;3
10.0225;-3.9507399999999997;-9.08877;0.439383;-0.432916;3
10.0241;-3.95195;-9.092059999999998;0.439359;-0.432859;3
